Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Dum Dum,GEN,West Bengal,Communist Party Of India (MARXIST),80.70%,M,BJP,2.66,Amitava Nandy,0,12th Pass,2935137,0,61,3.56
Dumka,ST,Jharkhand,Jharkhand Mukti Morcha,57.70%,M,BJP,8.97,SHIBU SOREN,4,10th Pass,3776022,8013462,59,3.16
Durg,GEN,Chhattisgarh,BJP,52.00%,M,BJP,18.79,TARACHAND SAHU,0,Post Graduate,3205175,1060847,57,43.14
Durgapur,SC,West Bengal,Communist Party Of India (MARXIST),73.40%,M,Communist Party Of India (MARXIST),2.66,Sunil Khan,0,Graduate,2796700,0,,3.56
East Delhi,GEN,Delhi ,INC,45.70%,M,BJP,-7.86,SANDEEP DIKSHIT,0,Post Graduate,4764901,246779,39,1.01
Eluru,GEN,Andhra Pradesh,INC,77.70%,M,Telugu Desam,6.29,KAVURU SAMBA SIVA RAO,0,Others,117898221,191621,60,15.14
Erandol,GEN,Maharashtra,BJP,50.20%,M,BJP,10.7,ANNASAHEB M. K. PATIL,0,Post Graduate,4492440,944685,64,10.43
Erandol,GEN,Maharashtra,NCP,35%,M,BJP,10.7,Adv Vasantaray Jeevanarav More,,Others,,,,10.43
Ernakulam,GEN,Kerala,Independent,61.50%,M,INC,5.57,DR. SEBASTIAN PAUL,0,Doctorate,2993000,764304,56,-1.39
Etah,GEN,Uttar Pradesh ,Samajwadi Party,52.00%,M,Samajwadi Party,5,KU. DEVENDRA SINGH YADAV,0,Doctorate,117888469,16200,54,3.85
Etawah,GEN,Uttar Pradesh ,Samajwadi Party,55.70%,M,Samajwadi Party,5,RAGHURAJ SINGH SHAKYA,0,Post Graduate,1924170,0,33,3.85
Faizabad,GEN,Uttar Pradesh ,Bahujan Samaj Party,51.80%,M,BJP,5,MITRASEN,27,12th Pass,5380516,318855,70,3.85
Faridabad,GEN,Haryana,INC,54.60%,M,BJP,9.42,AVTAR SINGH BHADANA,0,8th Pass,9763648,0,48,7.73
Faridkot,GEN,Punjab,Shiromani Akali Dal,70.70%,M,INC,4.08,SUKHBIR SINGH BADAL,1,Post Graduate,133811603,17359781,42,5.76
Farrukhabad,GEN,Uttar Pradesh ,Samajwadi Party,48.70%,M,Samajwadi Party,5,CHANDRA BHUSHAN SINGH (MUNNOO BABU),0,Post Graduate,9594069,768000,52,3.85
Fatehpur,GEN,Uttar Pradesh ,Bahujan Samaj Party,39.60%,M,BJP,5,MAHENDRA PRASAD NISHAD,0,Graduate,1082468,56554,34,3.85
Ferozepur,GEN,Punjab,Shiromani Akali Dal,66.60%,M,Shiromani Akali Dal,4.08,ZORA SINGH MAAN,1,10th Pass,5561000,723000,62,5.76
Firozabad,SC,Uttar Pradesh ,Samajwadi Party,40.70%,M,Samajwadi Party,5,RAM JI LAL SUMAN,2,Graduate,4235985,0,52,3.85
Gandhinagar,GEN,Gujarat,BJP,39.70%,M,BJP,12.5,L. K. ADVANI,0,Graduate Professional,13042443,554000,76,39.89
Ganganagar,SC,Rajasthan,BJP,53.90%,M,BJP,2.12,NIHALCHAND MEGHWAL,0,Graduate,2282422,168941,32,81.37
Garhwal,GEN,Uttarakhand,BJP,46.20%,M,BJP,17.77,MAJ. GEN. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),0,Graduate Professional,7242679,0,69,4.87
Gauhati,GEN,Assam,INC,61.20%,M,BJP,9.51,KIRIP CHALIHA,0,Post Graduate,9202689,205430,49,1.51
Gaya,SC,Bihar ,Rashtriya Janata Dal,61.50%,M,BJP,-6.57,RAJESH KUMAR MANJHI,0,8th Pass,NA,26000,32,-16.27
Ghatampur,SC,Uttar Pradesh ,Samajwadi Party,41.80%,M,Bahujan Samaj Party,5,RADHEY SHYAM KORI,0,10th Pass,1868196,0,65,3.85
Ghazipur,GEN,Uttar Pradesh ,Samajwadi Party,58.90%,M,BJP,5,AFAJAL ANSARI,1,Post Graduate,5085464,38022,50,3.85
Ghosi,GEN,Uttar Pradesh ,Samajwadi Party,50.60%,M,Bahujan Samaj Party,5,CHANDRADEO PRASAD RAJBHAR,0,Post Graduate,600143,0,48,3.85
Giridih,GEN,Jharkhand,Jharkhand Mukti Morcha,54.40%,M,BJP,8.97,TEK LAL MAHTO,1,Graduate,625000,0,52,3.16
Gobichettipalayam,GEN,Tamil Nadu,INC,64.40%,M,All India Anna Dravida Munnetra Kazhagam,8.84,"ELANGOVAN, E. V. K. S.",13,Graduate,5031000,0,55,-2.42
Godda,GEN,Jharkhand,INC,62.10%,M,BJP,8.97,FURKAN ANSARI,3,Graduate,1499897,8.00E+05,52,3.16
Godhra,GEN,Gujarat,BJP,47.00%,M,BJP,12.5,SOLANKI BHUPENDRASINH PRABHATSINH,0,Graduate Professional,2724746,0,50,39.89
Gonda,GEN,Uttar Pradesh ,Samajwadi Party,43.60%,M,BJP,5,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,0,Post Graduate,8600704,595401,37,3.85
Gopalganj,GEN,Bihar ,Rashtriya Janata Dal,56.40%,M,Janata Dal (United),-6.57,ANIRUDH PRASAD ALIAS SADHU YADAV,3,Graduate,5234219,443268,44,-16.27
Gorakhpur,GEN,Uttar Pradesh ,BJP,48.10%,M,BJP,5,ADITYA NATH,0,Graduate,960672,0,30,3.85
Gulbarga,GEN,Karnataka,INC,57.50%,M,INC,3.22,IQBAL AHMED SARADGI,0,Graduate Professional,11451875,0,59,-12.81
Guna,GEN,Madhya Pradesh ,INC,47.00%,M,INC,-2.8,JYOTIRADITYA MADHAVRAO SCINDIA,0,Post Graduate,35827904,0,33,36.75
Guntur,GEN,Andhra Pradesh,INC,69.90%,M,Telugu Desam,6.29,RAYAPATI SAMBASIVA RAO,0,Others,48198297,9889900,61,15.14
Gurdaspur,GEN,Punjab,BJP,64.90%,M,BJP,4.08,VINOD KHANNA,0,Graduate,81081889,1236000,58,5.76
Gwalior,GEN,Madhya Pradesh ,INC,40.90%,M,BJP,-2.8,RAMSEVAK SINGH ( BABUJI),0,5th Pass,5443950,0,,36.75
Gwalior,GEN,Madhya Pradesh ,BJP,41.40%,M,BJP,-2.8,Yashodhara Raje Scindhia,,Others,,,,36.75
Hajipur,SC,Bihar ,Lok Jan Shakti Party,64.00%,M,Janata Dal (United),-6.57,RAM VILAS PASWAN,0,Post Graduate,8332433,0,57,-16.27
Hamirpur,GEN,Himachal Pradesh,BJP,61.10%,M,Bahujan Samaj Party,8.83,RAJNARAYAN ALIAS RAJJU MAHRAJ,0,Graduate Professional,2640727,387411,40,11.5
Hamirpur,GEN,Himachal Pradesh,BJP,59.90%,M,BJP,8.83,Prem Kumar Dhumal,,Others,,,,11.5
Hamirpur,GEN,Uttar Pradesh ,Samajwadi Party,51.00%,M,BJP,5,SURESH CHANDEL,0,Post Graduate,6426759,1069724,44,3.85
Hanamakonda,GEN,Andhra Pradesh,TRS,61.10%,M,Telugu Desam,6.29,Boianapalli Vinod Kumar,,Others,,,,15.14
Hanamkonda,GEN,Andhra Pradesh,Telangana Rashtra Samithi,68.90%,M,Telugu Desam,6.29,B.VINOD KUMAR,0,Graduate,10011716,0,45,15.14
Hapur,GEN,Uttar Pradesh ,INC,44.30%,M,BJP,5,SURENDRA PRAKASH GOYAL,1,8th Pass,6164616,0,53,3.85
Hardoi,SC,Uttar Pradesh ,Samajwadi Party,43.00%,F,Akhil Bhartiya Lok Tantrik Congress,5,USHA VERMA,0,Post Graduate,976000,2.00E+05,37,3.85
Hardwar,SC,Uttarakhand,Samajwadi Party,53.20%,M,BJP,17.77,RAJENDRA KUMAR,0,8th Pass,2394512,0,33,4.87
Hassan,GEN,Karnataka,Janata Dal (Secular),70.40%,M,INC,3.22,H. D. DEVEGOWDA,0,Others,11439574,3582261,71,-12.81
Hathras,SC,Uttar Pradesh ,BJP,40.60%,M,BJP,5,KISHAN LAL DILER,0,Others,2089121,0,80,3.85
Hazaribagh,GEN,Jharkhand,Communist Party Of India,59.80%,M,BJP,8.97,BHUBNESHWAR PRASAD MEHTA,1,12th Pass,970342,250000,60,3.16
Hindupur,GEN,Andhra Pradesh,INC,73.40%,M,Telugu Desam,6.29,NIZAMODDIN,0,Graduate,1405000,200779,50,15.14
Hingoli,GEN,Maharashtra,Nationalist Congress Party,61.20%,F,Shiv Sena,10.7,SURYAKANTA PATIL,2,Graduate,15307225,272088,55,10.43
Hissar,GEN,Haryana,INC,67.70%,M,Indian National Lok Dal,9.42,JAI PARKASH,5,12th Pass,4568812,245760,51,7.73
Hooghly,GEN,West Bengal,Communist Party Of India (MARXIST),79.20%,M,Communist Party Of India (MARXIST),2.66,Rupchand Pal,0,Post Graduate,893720,435000,67,3.56
Hoshangabad,GEN,Madhya Pradesh ,BJP,49.20%,M,BJP,-2.8,SARTAJ SINGH,0,Graduate,14878898,654724,62,36.75
Hoshiarpur,GEN,Punjab,BJP,57.60%,M,INC,4.08,AVINASH RAI KHANNA,0,Graduate Professional,1623665,0,43,5.76
Howrah,GEN,West Bengal,Communist Party Of India (MARXIST),73.30%,M,Communist Party Of India (MARXIST),2.66,Swadesh Chakrabortty,0,Graduate,1545667,0,,3.56
Hyderabad,GEN,Andhra Pradesh,All India Majlis-E-Ittehadul Muslimoon,55.70%,M,All India Majlis-E-Ittehadul Muslimoon,6.29,ASADUDDIN OWAISI,3,Graduate Professional,3902342,0,37,15.14
Ichalkaranji,GEN,Maharashtra,Nationalist Congress Party,65.00%,F,Nationalist Congress Party,10.7,MANE NIVEDITA SAMBHAJIRAO,0,Graduate,7913845,387564,39,10.43
Idukki,GEN,Kerala,Kerala Congress,70.40%,M,Kerala Congress,5.57,K. FRANCIS GEORGE,1,Graduate Professional,11417962,78919,49,-1.39
Indore,GEN,Madhya Pradesh ,BJP,50.90%,F,BJP,-2.8,SUMITRA MAHAJAN,0,Post Graduate,4422500,1250000,61,36.75
Inner Manipur,GEN,Manipur,INC,56.20%,M,Manipur State Congress Party,4.72,DR. THOKCHOM MEINYA,0,Doctorate,1107278,80660,55,14.96
Jabalpur,GEN,Madhya Pradesh ,BJP,42.50%,M,BJP,-2.8,RAKESH SINGH,0,Graduate,6327291,0,42,36.75
Jadavpur,GEN,West Bengal,Communist Party Of India (MARXIST),75.30%,M,All India Trinamool Congress,2.66,Sujan Chakraborty,0,Doctorate,1046232,0,,3.56
Jagatsinghpur,GEN,Orissa,Biju Janata Dal,71.30%,M,Biju Janata Dal,21.93,BRAHMANANDA PANDA,0,Post Graduate,5982315,53760,54,22.81
Jahanabad,GEN,Bihar ,Rashtriya Janata Dal,69.30%,M,Janata Dal (United),-6.57,GANESH PRASAD SINGH,0,Post Graduate,8990298,294350,57,-16.27
Jaipur,GEN,Rajasthan,BJP,46.40%,M,BJP,2.12,GIRDHARI LAL BHARGAVA,0,Graduate Professional,14248322,196196,77,81.37
Jajpur,SC,Orissa,Biju Janata Dal,68.50%,M,Biju Janata Dal,21.93,MOHAN JENA,0,Post Graduate,870000,22568,44,22.81
Jalaun,SC,Uttar Pradesh ,BJP,44.30%,M,Bahujan Samaj Party,5,BHANU PRATAP SINGH VERMA,1,Post Graduate,446550,114460,44,3.85
Jalesar,GEN,Uttar Pradesh ,Samajwadi Party,52.40%,M,Samajwadi Party,5,PRO. S.P SINGH BAGHEL,1,Post Graduate,5623000,787357,43,3.85
Jalgaon,GEN,Maharashtra,BJP,49.70%,M,BJP,10.7,Y. G. MAHAJAN (SIR),1,Post Graduate,6719861,0,63,10.43
Jalgaon,GEN,Maharashtra,BJP,34.60%,M,BJP,10.7,Jawale Haribhau Madhav,,Others,,,,10.43
Jalna,GEN,Maharashtra,BJP,60.80%,M,BJP,10.7,DANVE RAOSAHEB DADARAO PATIL,0,12th Pass,9681004,715955,49,10.43
Jalore,SC,Rajasthan,BJP,45.80%,F,INC,2.12,B. SUSHEELA,0,Post Graduate,9629204,904335,52,81.37
Jalpaiguri,GEN,West Bengal,Communist Party Of India (MARXIST),80.10%,F,Communist Party Of India (MARXIST),2.66,Minati Sen,0,Graduate Professional,1711703,47377,61,3.56
Jammu,GEN,Jammu & Kashmir,INC,44.40%,M,BJP,4.29,MADAN LAL SHARMA,0,10th Pass,6217000,149750,51,8.88
Jamnagar,GEN,Gujarat,INC,40.40%,M,BJP,12.5,AHIR VIKRAMBHAI,0,Graduate,4837028,574600,48,39.89
Jamshedpur,GEN,Jharkhand,Jharkhand Mukti Morcha,56.60%,M,BJP,8.97,SUNIL KUMAR MAHATO,3,Graduate,3058500,0,38,3.16
Jamshedpur,GEN,Jharkhand,JMM,45.90%,M,BJP,8.97,Suman Mahato (E),,Others,,,,3.16
Jangipur,GEN,West Bengal,INC,81.40%,M,Communist Party Of India (MARXIST),2.66,Pranab Mukherjee,0,Doctorate,15204925,217267,67,3.56
Janjgir,GEN,Chhattisgarh,BJP,52.20%,F,INC,18.79,,,Others,,,,43.14
Jaunpur,GEN,Uttar Pradesh ,Samajwadi Party,47.10%,M,BJP,5,PARASNATH YADAVA,0,12th Pass,2941300,0,57,3.85
Jhabua,ST,Madhya Pradesh ,INC,48.70%,M,INC,-2.8,KANTILAL BHURIA,0,Post Graduate,14041825,0,55,36.75
Jhalawar,GEN,Rajasthan,BJP,47.70%,M,BJP,2.12,DUSHYANT SINGH,0,Post Graduate,7082067,0,33,81.37
Jhanjharpur,GEN,Bihar ,Rashtriya Janata Dal,60.50%,M,Janata Dal (United),-6.57,DEVENDRA PRASAD YADAV,0,Graduate,1137321,245123,53,-16.27
Jhansi,GEN,Uttar Pradesh ,Samajwadi Party,53.70%,M,INC,5,CHANDRAPAL SINGH YADAV,1,Post Graduate,5307820,0,47,3.85
Jhargram,ST,West Bengal,Communist Party Of India (MARXIST),77.00%,M,Communist Party Of India (MARXIST),2.66,Rupchand Murmu,1,12th Pass,1041089,101870,56,3.56
Jhunjhunu,GEN,Rajasthan,INC,49.60%,M,INC,2.12,SHISH RAM OLA,0,10th Pass,4771614,984980,76,81.37
Jodhpur,GEN,Rajasthan,BJP,54.90%,M,BJP,2.12,JASWANT SINGH BISHNOI,0,Graduate Professional,6993029,489166,45,81.37
Jorhat,GEN,Assam,INC,62.00%,M,INC,9.51,BIJOY KRISHNA HANDIQUE,0,Post Graduate,1356192,0,69,1.51
Joynagar,SC,West Bengal,Revolutionary Socialist Party,71.00%,M,Revolutionary Socialist Party,2.66,Sanat Kumar Mandal,0,Graduate Professional,2189190,0,62,3.56
Jullundur,GEN,Punjab,INC,60.80%,M,INC,4.08,RANA GURJEET SINGH,0,10th Pass,205828008,2500000,,5.76
Junagadh,GEN,Gujarat,INC,53.10%,M,BJP,12.5,BARAD JASUBHAI DHANABHAI,2,Graduate,18457408,0,49,39.89
Kaira,GEN,Gujarat,INC,39.30%,M,INC,12.5,DINSHA PATEL,0,10th Pass,5727475,3083830,67,39.89
Kairana,GEN,Uttar Pradesh ,Rashtriya Lok Dal,66.90%,F,Rashtriya Lok Dal,5,ANURADHA CHOUDHARY,0,Graduate,43904200,0,43,3.85
Kaiserganj,GEN,Uttar Pradesh ,Samajwadi Party,44.80%,M,Samajwadi Party,5,BENI PRASAD VERMA,0,Graduate Professional,4112560,0,63,3.85
Kakinada,GEN,Andhra Pradesh,INC,71.40%,M,Telugu Desam,6.29,,,Others,,,,15.14
Kalahandi,GEN,Orissa,BJP,66.60%,M,BJP,21.93,BIKRAM KESHARI DEO,0,Graduate,3237000,10823,52,22.81
Kaliabor,GEN,Assam,INC,66.20%,M,INC,9.51,DIP GOGOI,0,Graduate,342751,0,54,1.51
Kanakapura,GEN,Karnataka,INC,57.60%,F,INC,3.22,TEJASHWINI SEE RAMESH,0,Post Graduate,1160000,0,37,-12.81
Kanara,GEN,Karnataka,BJP,68.90%,M,INC,3.22,ANANTHKUMAR HEGDE,3,12th Pass,1206000,13401653,34,-12.81
Kangra,GEN,Himachal Pradesh,INC,62.00%,M,BJP,8.83,CHANDER KUMAR,0,Post Graduate,7304760,1916918,59,11.5
Kanker,ST,Chhattisgarh,BJP,48.00%,M,BJP,18.79,SOHAN POTAI,0,Post Graduate,2113856,71932,47,43.14
Kannauj,GEN,Uttar Pradesh ,Samajwadi Party,56.40%,M,Samajwadi Party,5,AKHILESH YADAV,0,Post Graduate,23142705,0,31,3.85
Kanpur,GEN,Uttar Pradesh ,INC,43.40%,M,INC,5,SHRIPRAKASH JAISWAL,0,10th Pass,19127260,0,59,3.85
Kapadvanj,GEN,Gujarat,INC,47.10%,M,INC,12.5,VAGHELA SHANKERSINH LAXMANSINH,0,Post Graduate,7004174,0,64,39.89
Karad,GEN,Maharashtra,Nationalist Congress Party,60.40%,M,Nationalist Congress Party,10.7,PATIL SHRINIWAS DADASAHEB,0,Post Graduate,12494141,0,63,10.43
Karimganj,SC,Assam,INC,68.50%,M,INC,9.51,LALIT MOHAN SUKLABAIDYA,0,Post Graduate,4197600,240000,62,1.51
Karimnagar,GEN,Andhra Pradesh,TRS,55.90%,M,BJP,6.29,K. Chandra Shakher Rao (E),0,Graduate,8598858,2559507,51,15.14
Karnal,GEN,Haryana,INC,66.00%,M,BJP,9.42,ARVIND KUMAR SHARMA,0,Post Graduate,5736332,0,42,7.73
Karol Bagh,SC,Delhi ,INC,49.30%,F,BJP,-7.86,KRISHNA TIRATH,0,Graduate Professional,6415254,0,49,1.01
Karur,GEN,Tamil Nadu,Dravida Munetra Kazhagam,69.50%,M,All India Anna Dravida Munnetra Kazhagam,8.84,"PALANISAMY, K. C.",0,5th Pass,546569007,63920476,69,-2.42
Kasaragod,GEN,Kerala,Communist Party Of India (MARXIST),77.50%,M,Communist Party Of India (MARXIST),5.57,P. KARUNAKARAN,20,Post Graduate,5190249,10330,59,-1.39
Katihar,GEN,Bihar ,BJP,60.80%,M,BJP,-6.57,NIKHIL KUMAR CHOUDHARY,1,Graduate,4535938,0,61,-16.27
Katwa,GEN,West Bengal,Communist Party Of India (MARXIST),82.40%,M,Communist Party Of India (MARXIST),2.66,Mahboob Zahedi,0,10th Pass,2705606,332383,72,3.56
Katwa,GEN,West Bengal,CPM,75.80%,M,Communist Party Of India (MARXIST),2.66,Abu Ayes Mondal,,Others,,,,3.56
Kendrapara,GEN,Orissa,Biju Janata Dal,70.50%,F,Biju Janata Dal,21.93,ARCHANA NAYAK,0,Post Graduate,384400,32000,38,22.81
Keonjhar,ST,Orissa,BJP,68.80%,M,BJP,21.93,ANANTA NAYAK,0,12th Pass,818420,69086,34,22.81
Khagaria,GEN,Bihar ,Rashtriya Janata Dal,56.50%,M,Janata Dal (United),-6.57,RABINDRA KU. RANA,1,Graduate Professional,6336271,0,58,-16.27
Khajuraho,GEN,Madhya Pradesh ,BJP,49.70%,M,INC,-2.8,DR. RAMKRISHNA KUSHMARIYA ( BABA JEE ),0,Doctorate,5183173,986766,61,36.75
Khalilabad,GEN,Uttar Pradesh ,Bahujan Samaj Party,50.20%,M,Samajwadi Party,5,BHALCHANDRA YADAVA,10,Graduate,651000,260630,40,3.85
Khalilabad,GEN,Uttar Pradesh ,BSP,39.60%,M,Samajwadi Party,5,Bhishma Shanker Alias Kushal Tiwari,,Others,,,,3.85
Khammam,GEN,Andhra Pradesh,INC,78.60%,F,INC,6.29,RENUKA CHOWDHURY,1,Post Graduate,136912161,300414,49,15.14
Khandwa,GEN,Madhya Pradesh ,BJP,49.70%,M,BJP,-2.8,NAND KUMAR SINGH CHAUHAN ( NANDU BHAIYA),0,Graduate,4510192,947000,47,36.75
Khargone,GEN,Madhya Pradesh ,INC,59.50%,M,INC,-2.8,Arun Suchash Chandra Yadav,,Others,,,,36.75
Khargone,GEN,Madhya Pradesh ,BJP,50.60%,M,INC,-2.8,KRISHNA MURARI MOGHE,0,Graduate,7414005,88719,53,36.75
Khed,GEN,Maharashtra,Shiv Sena,55.50%,M,Nationalist Congress Party,10.7,ADHALARAO PATIL SHIVAJIRAO,0,Post Graduate,52230281,12332651,48,10.43
Kheri,GEN,Uttar Pradesh ,Samajwadi Party,49.20%,M,Samajwadi Party,5,RAVI PRAKASH VERMA,0,Graduate Professional,2916963,246079,44,3.85
Khunti,ST,Jharkhand,INC,54.20%,F,BJP,8.97,SUSHILA KERKETTA,0,Post Graduate,3328161,0,60,3.16
Khurja,SC,Uttar Pradesh ,BJP,41.20%,M,BJP,5,ASHOK KUMAR PRADHAN,0,Others,11589733,0,51,3.85
Kishanganj,GEN,Bihar ,Rashtriya Janata Dal,63.60%,M,BJP,-6.57,TASLIMUDDIN,9,Literate,5525834,1012986,62,-16.27
Kodarma,GEN,Jharkhand,BJP,62.30%,M,INC,8.97,BABULAL MARANDI,0,Graduate,5.00E+05,460000,45,3.16
Koderma,GEN,Jharkhand,IND,56.20%,M,INC,8.97,Babu Lal Marandi,,Others,,,,3.16
Kokrajhar,ST,Assam,Independent,79.50%,M,Independent,9.51,SANSUMA KHUNGGUR BWISWMUTHIARY,0,Graduate,1694686,0,42,1.51
Kolaba,GEN,Maharashtra,INC,63.30%,M,Peasants And Workers Party Of India,10.7,A. R. ANTULAY,0,Graduate Professional,28468000,0,75,10.43
Kolar,SC,Karnataka,INC,71.90%,M,INC,3.22,K.H. MUNIYAPPA,0,Graduate,6187039,397195,57,-12.81
Kolhapur,GEN,Maharashtra,Nationalist Congress Party,69.80%,M,Nationalist Congress Party,10.7,MANDLIK SADASHIVRAO DADOBA,2,Graduate,8842586,986985,69,10.43
Kopargaon,GEN,Maharashtra,INC,61.90%,M,Shiv Sena,10.7,E. V. ALIAS BALASAHEB VIKHE PATIL,0,10th Pass,36937860,764653,72,10.43
Koppal,GEN,Karnataka,INC,63.20%,M,INC,3.22,K. VIRUPAXAPPA,0,10th Pass,5230246,1046888,62,-12.81
Koraput,ST,Orissa,INC,64.50%,M,INC,21.93,GIRIDHAR GAMANG,0,Graduate,459812,0,61,22.81
Kota,GEN,Rajasthan,BJP,43.60%,M,BJP,2.12,RAGHUVEER SINGH KOSHAL,0,Graduate Professional,5734998,664908,71,81.37
Kottayam,GEN,Kerala,Communist Party Of India (MARXIST),73.00%,M,Communist Party Of India (MARXIST),5.57,K. SURESH KURUP,0,Graduate Professional,1818560,993202,48,-1.39
Krishnagar,GEN,West Bengal,Communist Party Of India (MARXIST),82.70%,F,BJP,2.66,Jyotirmoyee Sikdar,0,12th Pass,7545592,1036080,34,3.56
Krishnagiri,GEN,Tamil Nadu,Dravida Munetra Kazhagam,58.90%,M,Dravida Munetra Kazhagam,8.84,SUGAVANAM. E. G,1,Others,5121291,1991138,46,-2.42
Kurnool,GEN,Andhra Pradesh,INC,62.40%,M,Telugu Desam,6.29,KOTLA JAYASURYA PRAKASHA REDDY,0,Graduate,15941801,681000,52,15.14
Kurukshetra,GEN,Haryana,INC,73.20%,M,Indian National Lok Dal,9.42,NAVEEN JINDAL,0,Post Graduate,121295000,0,34,7.73
Kutch,GEN,Gujarat,BJP,45.60%,M,BJP,12.5,GADHAVI PUSHPADAN SHAMBHUDAN,0,Graduate Professional,9730221,719633,63,39.89
Ladakh,GEN,Jammu & Kashmir,Independent,72.70%,M,Jammu & Kashmir National Conference,4.29,THUPSTAN CHHEWANG,0,Graduate Professional,6139045,230415,56,8.88
Lakhimpur,GEN,Assam,Asom Gana Parisad,71.00%,M,INC,9.51,DR. ARUN KUMAR SARMAH,0,Others,1467028,0,47,1.51
Lakshadweep,ST,Lakshadweep,Janata Dal (United),81.50%,M,INC,0,DR. P. POOKUNHIKOYA,0,Graduate Professional,3945099,103145,55,0
Lalganj,SC,Uttar Pradesh ,Samajwadi Party,49.00%,M,Bahujan Samaj Party,5,DAROGA PRASAD SAROJ,1,Graduate,614485,130918,54,3.85
Latur,GEN,Maharashtra,BJP,63.50%,F,INC,10.7,PATIL RUPATAI DILIPRAO NILANGEKAR,0,10th Pass,1960659,5585583,47,10.43
Lohardaga,ST,Jharkhand,INC,51.50%,M,BJP,8.97,RAMESHWAR ORAON,0,Doctorate,9238423,364452,,3.16
Lucknow,GEN,Uttar Pradesh ,BJP,35.30%,M,BJP,5,ATAL BIHARI VAJPAYEE,0,Post Graduate,5899232,0,76,3.85
Ludhiana,GEN,Punjab,Shiromani Akali Dal,55.80%,M,INC,4.08,SHARANJIT SINGH DHILLON,1,Graduate Professional,9842137,1176489,51,5.76
Machhlishahr,GEN,Uttar Pradesh ,Bahujan Samaj Party,45.90%,M,Samajwadi Party,5,UMAKANT YADAV,8,Post Graduate,28462566,0,43,3.85
Machilipatnam,GEN,Andhra Pradesh,INC,75.70%,M,Telugu Desam,6.29,BADIGA RAMAKRISHNA,0,12th Pass,138545000,11559000,61,15.14
Madhepura,GEN,Bihar ,Rashtriya Janata Dal,58.60%,M,Janata Dal (United),-6.57,LALU PRASAD,7,Graduate Professional,8768340,22041400,55,-16.27
Madhepura,GEN,Bihar ,RJD,NA,M,Janata Dal (United),-6.57,Rajesh Ranjan Alias Pappu Yadav,,Others,,,,-16.27
Madhubani,GEN,Bihar ,INC,55.30%,M,BJP,-6.57,DR. SHAKEEL AHMAD,0,Graduate Professional,1859000,3.00E+05,47,-16.27
Madras Central,GEN,Tamil Nadu,Dravida Munetra Kazhagam,49.10%,M,Dravida Munetra Kazhagam,8.84,DAYANIDHI MARAN,0,Graduate,14420628,0,37,-2.42
Madras North,GEN,Tamil Nadu,Dravida Munetra Kazhagam,45.80%,M,Dravida Munetra Kazhagam,8.84,KUPPUSAMI. C,1,12th Pass,9537668,156696,77,-2.42
Madras South,GEN,Tamil Nadu,Dravida Munetra Kazhagam,48.00%,M,Dravida Munetra Kazhagam,8.84,"BAALU, T. R.",0,Graduate,27444755,0,62,-2.42
Madurai,GEN,Tamil Nadu,Communist Party Of India (MARXIST),54.90%,M,Communist Party Of India (MARXIST),8.84,,,Others,,,,-2.42
Mahabubnagar,GEN,Andhra Pradesh,INC,63.40%,M,BJP,6.29,D. VITTAL RAO,0,Graduate,65075830,3.00E+06,53,15.14
Maharajganj,GEN,Bihar ,Janata Dal (United),59.60%,M,Samajwadi Party,-6.57,PRABHUNATH SINGH,11,12th Pass,3296840,530175,49,-16.27
Maharajganj,GEN,Uttar Pradesh ,BJP,56.90%,M,Janata Dal (United),5,PANKAJ,0,12th Pass,14174401,473788,40,3.85
Mahasamund,GEN,Chhattisgarh,INC,65.90%,M,INC,18.79,AJIT JOGI,2,Graduate Professional,8835009,0,57,43.14
Mahendragarh,GEN,Haryana,INC,59.40%,M,BJP,9.42,INDERJIT SINGH,0,Graduate Professional,55105874,1108417,54,7.73
Mainpuri,GEN,Uttar Pradesh ,Samajwadi Party,59.40%,M,Samajwadi Party,5,MULAYAM SINGH YADAV,2,Post Graduate,11541224,41235,63,3.85
Mainpuri,GEN,Uttar Pradesh ,SP,NA,M,Samajwadi Party,5,Dharmendra Yadav,,Others,,,,3.85
Malda,GEN,West Bengal,INC,77.60%,M,INC,2.66,A. B. A. Ghani Khan Choudhury,1,Graduate,4115704,4187744,69,3.56
Malda,GEN,West Bengal,INC,77.50%,M,INC,2.66,Abu Hasem Khan Choudhury (E),,Others,,,,3.56
Malegaon,ST,Maharashtra,BJP,48.30%,M,Janata Dal (Secular),10.7,HARISCHANDRA DEVRAM CHAVAN,0,Graduate,3312291,9033,53,10.43
Mandi,GEN,Himachal Pradesh,INC,62.50%,F,BJP,8.83,PRATIBHA SINGH,0,Graduate,230288018,1542808,47,11.5
Mandla,ST,Madhya Pradesh ,BJP,53.70%,M,BJP,-2.8,FAGGAN SINGH KULASTE,0,Post Graduate,3091035,0,42,36.75
Mandsaur,GEN,Madhya Pradesh ,BJP,56.50%,M,BJP,-2.8,DR LAXMINARAYAN PANDEYA,0,Post Graduate,2650506,726872,76,36.75
