"","Constituency","Type","State","Party","Turnout","Gender","PrevParty","GSDP","Candidate","Criminal.Case","Education","Total.Assets","Liabilities","CandidateAge","GrowthRateAgri","Year","PredictedValue"
"167","Eluru","GEN","Andhra Pradesh","Others",84.2,"M","INC",2.44,"Maganti Venkateswara Rao (BABU)",2,"10th Pass",129394729,55294433,54,6.15,"2014","INC"
"168","Ernakulam","GEN","Kerala","INC",73.6,"M","INC",18.41,"Prof. K.V. Thomas",0,"Post Graduate",11848550,522352,67,4.39,"2014","INC"
"169","Erode","GEN","Tamil Nadu","Others",76.3,"M","Others",3.11,"Selvakumara Chinnayan S",0,"Post Graduate",47459708,0,55,7.33,"2014","Others"
"170","Etah","GEN","Uttar Pradesh","BJP",58.7,"M","Others",0.36,"Rajveer Singh (RAJU BHAIYA)",0,"Graduate Professional",251921157,46898091,53,2.59,"2014","Others"
"171","Etawah","SC","Uttar Pradesh","BJP",55,"M","Others",0.36,"Ashok Kumar Doharey",0,"Graduate",12252688,0,43,2.59,"2014","Others"
"172","Faizabad","GEN","Uttar Pradesh","BJP",58.8,"M","INC",0.36,"Lallu Singh",1,"Post Graduate",15127861,3640964,59,2.59,"2014","INC"
"173","Faridabad","GEN","Haryana","BJP",65,"M","INC",3.57,"Krishan Pal",0,"Graduate Professional",296440144,19707475,57,3.18,"2014","INC"
"174","Faridkot","SC","Punjab","Others",70.9,"M","Others",2.55,"Prof. Sadhu Singh",0,"Post Graduate",5879516,70000,72,0.44,"2014","Others"
"175","Farrukhabad","GEN","Uttar Pradesh","BJP",60.2,"M","INC",0.36,"Mukesh Rajput",0,"Graduate",26178100,151603,45,2.59,"2014","INC"
"176","Fatehgarh Sahib","SC","Punjab","Others",73.8,"M","INC",2.55,"Harinder Singh Khalsa",0,"Post Graduate",35588128,6700000,67,0.44,"2014","INC"
"177","Fatehpur","GEN","Uttar Pradesh","BJP",58.6,"F","Others",0.36,"Niranjan Jyoti",1,"12th Pass",3763779,176616,47,2.59,"2014","Others"
"178","Fatehpur Sikri","GEN","Uttar Pradesh","BJP",61.2,"M","Others",0.36,"Babulal",3,"12th Pass",73028848,16390000,66,2.59,"2014","Others"
"179","Ferozpur","GEN","Punjab","Others",72.6,"M","Others",2.55,"Sher Singh Ghubaya",0,"10th Pass",96121057,14936426.3216266,51,0.44,"2014","Others"
"180","Firozabad","GEN","Uttar Pradesh","Others",67.5,"M","Others",0.36,"Akshay Yadav",0,"Graduate",100883304,59377,27,2.59,"2014","Others"
"181","Gadchiroli-Chimur","ST","Maharashtra","BJP",69.9,"M","INC",8.78,"Ashok Mahadeorao Nete",0,"12th Pass",12125676,5830550,50,3.99,"2014","INC"
"182","Gandhinagar","GEN","Gujarat","BJP",65.5,"M","BJP",7.12,"L.K.Advani",1,"Graduate Professional",75915276,0,86,-6.96,"2014","BJP"
"183","Ganganagar","SC","Rajasthan","BJP",73.1,"M","INC",3.55,"Nihalchand",0,"Graduate",10861172,1611557,43,0.22,"2014","Others"
"184","Garhwal","GEN","Uttarakhand","BJP",53.7,"M","INC",6.3,"(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM)",0,"Graduate Professional",44357368,0,79,4.12,"2014","INC"
"185","Gauhati","GEN","Assam","BJP",78.6,"F","BJP",4.28,"Bijoya Chakravarty",0,"Post Graduate",12574493,0,75,4.59,"2014","INC"
"186","Gautam Buddh Nagar","GEN","Uttar Pradesh","BJP",60.4,"M","Others",0.36,"Dr.Mahesh Sharma",0,"Graduate Professional",473797545,40905738,54,2.59,"2014","Others"
"187","Gaya","SC","Bihar","BJP",53.9,"M","BJP",11.53,"Hari Manjhi",1,"8th Pass",10184120,2e+06,51,-10.06,"2014","BJP"
"188","Ghatal","GEN","West Bengal","Others",84.9,"M","Others",8.74,"Adhikari Deepak (DEV)",0,"10th Pass",152447159,17493227,32,5.38,"2014","Others"
"189","Ghaziabad","GEN","Uttar Pradesh","BJP",56.9,"M","BJP",0.36,"Vijay Kumar Singh",2,"Doctorate",41137044,2026774,62,2.59,"2014","INC"
"190","Ghazipur","GEN","Uttar Pradesh","BJP",54.8,"M","Others",0.36,"Manoj Sinha",0,"Graduate Professional",23376901,118700,55,2.59,"2014","Others"
"191","Ghosi","GEN","Uttar Pradesh","BJP",55,"M","Others",0.36,"Harinarayan Rajbhar",0,"Literate",23403964,0,73,2.59,"2014","Others"
"192","Giridih","GEN","Jharkhand","BJP",64,"M","BJP",11.62,"Ravindra Kumar Pandey",0,"Graduate",73376970,1970628,55,8.3,"2014","INC"
"193","Godda","GEN","Jharkhand","BJP",66,"M","BJP",11.62,"Nishikant Dubey",5,"Post Graduate",155633719,0,42,8.3,"2014","INC"
"194","Gonda","GEN","Uttar Pradesh","BJP",51.1,"M","INC",0.36,"Kirti Vardhan Singh",0,"Post Graduate",74738429,9275782,48,2.59,"2014","INC"
"195","Gopalganj","SC","Bihar","BJP",54.7,"M","Others",11.53,"Janak Ram",2,"Post Graduate",10582664,1039000,42,-10.06,"2014","BJP"
"196","Gorakhpur","GEN","Uttar Pradesh","BJP",54.6,"M","BJP",0.36,"Adityanath",3,"Graduate",7217674,0,41,2.59,"2014","Others"
"197","Gulbarga","SC","Karnataka","INC",57.9,"M","INC",2.12,"Mallikarjun Kharge",0,"Graduate Professional",102220880,7410154,72,1.25,"2014","INC"
"198","Guna","GEN","Madhya Pradesh","INC",60.8,"M","INC",2.15,"Jyotiraditya M Scindia",0,"Post Graduate",330888751,795000,42,23.28,"2014","INC"
"199","Guntur","GEN","Andhra Pradesh","Others",79.2,"M","INC",2.44,"Jayadev Galla",0,"Graduate",6830581361,202334283,48,6.15,"2014","INC"
"200","Gurdaspur","GEN","Punjab","BJP",69.5,"M","INC",2.55,"Vinod Khanna",0,"Graduate",669343376,12695306,68,0.44,"2014","INC"
"201","Gurgaon","GEN","Haryana","BJP",71.6,"M","INC",3.57,"Inderjit Singh Rao",0,"Graduate Professional",250698763,0,64,3.18,"2014","INC"
"202","Gwalior","GEN","Madhya Pradesh","BJP",52.8,"M","BJP",2.15,"Narendra Singh Tomar",1,"Graduate",11412622,4531444,56,23.28,"2014","BJP"
"203","Hajipur","SC","Bihar","Others",54.9,"M","Others",11.53,"Ramvilas Paswan",2,"Post Graduate",9642023,0,67,-10.06,"2014","BJP"
"204","Hamirpur","GEN","Himachal Pradesh","BJP",66.9,"M","BJP",2.43,"Anurag Singh Thakur",10,"Graduate",46535803,2074555,39,13.35,"2014","INC"
"205","Hamirpur","GEN","Uttar Pradesh","BJP",56.1,"M","Others",0.36,"Kunwar Pushpendra Singh Chandel",1,"Post Graduate",71265181,2825539,40,2.59,"2014","Others"
"206","Hardoi","SC","Uttar Pradesh","BJP",56.8,"M","Others",0.36,"Anshul Verma",0,"Post Graduate",30385000,0,39,2.59,"2014","Others"
"207","Hardwar","GEN","Uttarakhand","BJP",71.6,"M","INC",6.3,"Ramesh Pokhriyal Nishank",1,"Doctorate",17917274,1860684,54,4.12,"2014","INC"
"208","Hassan","GEN","Karnataka","Others",73.5,"M","Others",2.12,"H.D. Devegowda",0,"Others",42721242,8648283,81,1.25,"2014","Others"
"209","Hathras","SC","Uttar Pradesh","BJP",59.7,"M","Others",0.36,"Rajesh Kumar Diwaker",0,"Graduate Professional",5651457,0,43,2.59,"2014","Others"
"210","Hatkanangle","GEN","Maharashtra","Others",72.9,"M","Others",8.78,"Raju Shetty",12,"10th Pass",9896221,1504152,46,3.99,"2014","Others"
"211","Haveri","GEN","Karnataka","BJP",71.6,"M","BJP",2.12,"Udasi Shivakumar Channabasappa",0,"Graduate",576693538,54423645,47,1.25,"2014","INC"
"212","Hazaribagh","GEN","Jharkhand","BJP",63.7,"M","BJP",11.62,"Jayant Sinha",0,"Post Graduate",556754579,86380600,50,8.3,"2014","INC"
"213","Hindupur","GEN","Andhra Pradesh","Others",81.4,"M","Others",2.44,"Kristappa Nimmala",2,"Graduate",35793637,998480,57,6.15,"2014","Others"
"214","Hingoli","GEN","Maharashtra","INC",66.3,"M","Others",8.78,"Rajeev Shankarrao Satav",0,"Graduate Professional",49681499,584357,39,3.99,"2014","Others"
"215","Hisar","GEN","Haryana","Others",76.2,"M","Others",3.57,"Dushyant Chautala",0,"Graduate",361326990,68744460,26,3.18,"2014","Others"
"216","Hooghly","GEN","West Bengal","Others",82.8,"F","Others",8.74,"Dr. Ratna De (NAG)",0,"Graduate Professional",18617757,0,62,5.38,"2014","Others"
"217","Hoshangabad","GEN","Madhya Pradesh","BJP",65.8,"M","INC",2.15,"Uday Pratap Singh",1,"Graduate",133375092,3775714,49,23.28,"2014","INC"
"218","Hoshiarpur","SC","Punjab","BJP",64.7,"M","INC",2.55,"Vijay Sampla",0,"10th Pass",15164322,4020543,52,0.44,"2014","INC"
"219","Howrah","GEN","West Bengal","Others",74.8,"M","Others",8.74,"Prasun Banerjee",0,"Graduate",10041098,0,59,5.38,"2014","Others"
"220","Hyderabad","GEN","Telangana","Others",53.3,"M","Others",2.44,"Asaduddin Owaisi",4,"Graduate Professional",40611099,1.4e+07,43,6.15,"2014","Others"
"221","Idukki","GEN","Kerala","Others",70.8,"M","INC",18.41,"Adv.Joice George",4,"Post Graduate",17396207,9417720,44,4.39,"2014","INC"
"222","Indore","GEN","Madhya Pradesh","BJP",62.3,"F","BJP",2.15,"Sumitra Mahajan (TAI)",0,"Post Graduate",18732234,3539000,70,23.28,"2014","BJP"
"223","Inner Manipur","GEN","Manipur","INC",74.9,"M","INC",1.98,"Dr. Thokchom Meinya",0,"Doctorate",3825200,0,69,2.61,"2014","INC"
"224","Jabalpur","GEN","Madhya Pradesh","BJP",58.6,"M","BJP",2.15,"Rakesh Singh",1,"Graduate",26564889,0,53,23.28,"2014","BJP"
"225","Jadavpur","GEN","West Bengal","Others",79.7,"M","Others",8.74,"Sugata Bose",0,"Doctorate",46315770,0,57,5.38,"2014","Others"
"226","Jagatsinghpur","SC","Orissa","Others",75.5,"M","Others",5.74,"Kulamani Samal",0,"Graduate Professional",25158570,0,65,-3.25,"2014","Others"
"227","Jahanabad","GEN","Bihar","Others",57,"M","Others",11.53,"Dr. Arun Kumar",1,"Doctorate",38846631,1e+06,55,-10.06,"2014","BJP"
"228","Jaipur","GEN","Rajasthan","BJP",66.2,"M","INC",3.55,"Ramcharan Bohara",0,"12th Pass",135809546,23871000,56,0.22,"2014","Others"
"229","Jaipur Rural","GEN","Rajasthan","BJP",59.7,"M","INC",3.55,"Rajyavardhan Singh Rathore",0,"Graduate",83734044,117065,44,0.22,"2014","INC"
"230","Jajpur","SC","Orissa","Others",75.2,"F","Others",5.74,"Rita Tarai",0,"12th Pass",1622003,0,37,-3.25,"2014","Others"
"231","Jalandhar","SC","Punjab","INC",67.1,"M","INC",2.55,"Santokh Singh Chaudhary",0,"Graduate Professional",104040531,6194323,67,0.44,"2014","INC"
"232","Jalaun","SC","Uttar Pradesh","BJP",58.3,"M","Others",0.36,"Bhanu Pratap Singh Verma",0,"Post Graduate",5774068,650000,55,2.59,"2014","Others"
"233","Jalgaon","GEN","Maharashtra","BJP",58,"M","BJP",8.78,"A.T. Nana Patil",0,"Graduate",226180395,0,52,3.99,"2014","INC"
"234","Jalna","GEN","Maharashtra","BJP",66.1,"M","BJP",8.78,"Danve Raosaheb Dadarao",4,"Graduate",184411862,8534130,60,3.99,"2014","INC"
"235","Jalore","GEN","Rajasthan","BJP",59.6,"M","BJP",3.55,"Devji Patel",0,"10th Pass",51846777,12780726,37,0.22,"2014","INC"
"236","Jalpaiguri","SC","West Bengal","Others",85,"M","Others",8.74,"Bijoy Chandra Barman",0,"Post Graduate",9396430,797019,57,5.38,"2014","Others"
"237","Jammu","GEN","Jammu & Kashmir","BJP",67.8,"M","INC",1.18,"Jugal Kishore",0,"10th Pass",26824308,3e+05,51,4.97,"2014","INC"
"238","Jamnagar","GEN","Gujarat","BJP",58,"F","INC",7.12,"Poonamben Hematbhai Maadam",0,"Graduate",174372249,62824615,39,-6.96,"2014","BJP"
"239","Jamshedpur","GEN","Jharkhand","BJP",66.3,"M","BJP",11.62,"Bidyut Baran Mahato",8,"12th Pass",16027526,715347,51,8.3,"2014","Others"
"240","Jamui","SC","Bihar","Others",50,"M","Others",11.53,"Chirag Kumar Paswan",0,"12th Pass",10414470,4458954,32,-10.06,"2014","BJP"
"241","Jangipur","GEN","West Bengal","INC",80.4,"M","INC",8.74,"Abhijit Mukherjee",0,"Graduate Professional",63014502,15160000,54,5.38,"2014","INC"
"242","Janjgir-Champa","SC","Chhattisgarh","BJP",61.8,"F","BJP",6.42,"Kamla Patle",0,"12th Pass",18224350,0,48,2.28,"2014","Others"
"243","Jaunpur","GEN","Uttar Pradesh","BJP",54.5,"M","Others",0.36,"Krishna Pratap 'k.P.'",0,"Doctorate",40656909,4673939,37,2.59,"2014","Others"
"244","Jhalawar-Baran","GEN","Rajasthan","BJP",68.7,"M","BJP",3.55,"Dushyant Singh",0,"Post Graduate",239006838,2798782,43,0.22,"2014","INC"
"245","Jhanjharpur","GEN","Bihar","BJP",57,"M","Others",11.53,"Birendra Kumar Chaudhary",0,"Post Graduate",5158792,0,60,-10.06,"2014","INC"
"246","Jhansi","GEN","Uttar Pradesh","BJP",68.4,"F","INC",0.36,"Uma Bharati",13,"5th Pass",14376218,0,55,2.59,"2014","Others"
"247","Jhargram","ST","West Bengal","Others",85.3,"F","Others",8.74,"Uma Saren",0,"Graduate Professional",499646,0,29,5.38,"2014","Others"
"248","Jhunjhunu","GEN","Rajasthan","BJP",59.3,"F","INC",3.55,"Santosh Ahlawat",0,"Post Graduate",35897048,5704000,57,0.22,"2014","INC"
"249","Jodhpur","GEN","Rajasthan","BJP",62.4,"M","INC",3.55,"Gajendrasingh Shekhawat",0,"Post Graduate",143491494,92198588,48,0.22,"2014","INC"
"250","Jorhat","GEN","Assam","BJP",75.5,"M","INC",4.28,"Kamakhya Prasad Tasa",0,"Post Graduate",1694785,0,38,4.59,"2014","INC"
"251","Joynagar","SC","West Bengal","Others",81.3,"F","Others",8.74,"Pratima Mondal",0,"Post Graduate",10614252,0,48,5.38,"2014","Others"
"252","Junagadh","GEN","Gujarat","BJP",63.4,"M","BJP",7.12,"Chudasama Rajeshbhai Naranbhai",1,"12th Pass",7446059,1110690,31,-6.96,"2014","Others"
"253","Kachchh","SC","Gujarat","BJP",61.7,"M","BJP",7.12,"Chavda Vinod Lakhamashi",0,"Graduate Professional",5618643,411255,35,-6.96,"2014","INC"
"254","Kadapa","GEN","Andhra Pradesh","Others",77.4,"M","INC",2.44,"Y.S. Avinash Reddy",1,"Post Graduate",70480623,5547296,29,6.15,"2014","INC"
"255","Kairana","GEN","Uttar Pradesh","BJP",73.1,"M","Others",0.36,"Hukum Singh",2,"Graduate Professional",29078847,2941671,75,2.59,"2014","Others"
"256","Kaiserganj","GEN","Uttar Pradesh","BJP",55.1,"M","Others",0.36,"Brij Bhusan Sharan Singh",2,"Graduate Professional",61696767,11556027,57,2.59,"2014","Others"
"257","Kakinada","GEN","Andhra Pradesh","Others",77.6,"M","INC",2.44,"Thota Narasimham",0,"Graduate",17495976,120000,53,6.15,"2014","INC"
"258","Kalahandi","GEN","Orissa","Others",75.8,"M","INC",5.74,"Arka Keshari Deo",0,"Graduate",69822063,831688,35,-3.25,"2014","Others"
"259","Kaliabor","GEN","Assam","INC",80,"M","INC",4.28,"Gourav Gogoi",0,"Post Graduate",5473199,1042133,31,4.59,"2014","INC"
"260","Kallakurichi","GEN","Tamil Nadu","Others",78.4,"M","Others",3.11,"Kamaraj. K",0,"Post Graduate",35459256,544099,48,7.33,"2014","INC"
"261","Kalyan","GEN","Maharashtra","Others",42.9,"M","Others",8.78,"Dr.Shrikant Eknath Shinde",0,"Graduate Professional",998000,0,27,3.99,"2014","Others"
"262","Kancheepuram","SC","Tamil Nadu","Others",76.2,"F","INC",3.11,"Maragatham K",0,"12th Pass",18949050,4468600,32,7.33,"2014","INC"
"263","Kandhamal","GEN","Orissa","Others",73.4,"M","Others",5.74,"Hemendra Chandra Singh",2,"Graduate",503907437,4786551,46,-3.25,"2014","Others"
"264","Kangra","GEN","Himachal Pradesh","BJP",63.5,"M","BJP",2.43,"Shanta Kumar",0,"Graduate Professional",19852104,0,79,13.35,"2014","INC"
"265","Kanker","ST","Chhattisgarh","BJP",70.2,"M","BJP",6.42,"Vikram Dev Usendi",0,"10th Pass",23376000,869000,48,2.28,"2014","INC"
"266","Kannauj","GEN","Uttar Pradesh","Others",61.6,"F","Others",0.36,"Dimple Yadav",0,"Graduate",280516418,6917710,36,2.59,"2014","Others"
"267","Kanniyakumari","GEN","Tamil Nadu","BJP",67.5,"M","Others",3.11,"Radhakrishnan P.",0,"Graduate Professional",40963269,0,62,7.33,"2014","Others"
"268","Kannur","GEN","Kerala","Others",80.9,"F","INC",18.41,"P K Sreemathi Teacher",8,"Others",16939970,0,64,4.39,"2014","Others"
"269","Kanpur","GEN","Uttar Pradesh","BJP",51.8,"M","INC",0.36,"Dr.Murli Manohar Joshi",1,"Doctorate",78410008,0,80,2.59,"2014","INC"
"270","Kanthi","GEN","West Bengal","Others",86.6,"M","Others",8.74,"Adhikari Sisir Kumar",1,"12th Pass",19498381,0,74,5.38,"2014","Others"
"271","Karakat","GEN","Bihar","Others",50.3,"M","Others",11.53,"Upendra Kushwaha",4,"Post Graduate",24829741,823834,51,-10.06,"2014","BJP"
"272","Karauli-Dholpur","SC","Rajasthan","BJP",54.6,"M","INC",3.55,"Manoj Rajoria",0,"Post Graduate",28636113,3277324,43,0.22,"2014","INC"
"273","Karimganj","SC","Assam","Others",76.1,"M","INC",4.28,"Radheshyam Biswas",0,"12th Pass",7068281,0,59,4.59,"2014","Others"
"274","Karimnagar","GEN","Telangana","Others",72.6,"M","INC",2.44,"Vinod Kumar Boinapally",0,"Graduate Professional",97275990,0,54,6.15,"2014","INC"
"275","Karnal","GEN","Haryana","BJP",70.9,"M","INC",3.57,"Ashwini Kumar",6,"Graduate",698638135,153937858,57,3.18,"2014","Others"
"276","Karur","GEN","Tamil Nadu","Others",80.6,"M","Others",3.11,"Thambidurai,m.",2,"Doctorate",132457262,51481886,67,7.33,"2014","Others"
"277","Kasaragod","GEN","Kerala","Others",78.3,"M","Others",18.41,"P Karunakaran",6,"Post Graduate",5900345,0,69,4.39,"2014","Others"
"278","Katihar","GEN","Bihar","Others",67.6,"M","BJP",11.53,"Tariq Anwar",1,"Graduate",104600951,20454853,63,-10.06,"2014","BJP"
"279","Kaushambi","SC","Uttar Pradesh","BJP",52.3,"M","Others",0.36,"Vinod Kumar Sonkar",0,"Graduate",27091681,10932227,44,2.59,"2014","Others"
"280","Kendrapara","GEN","Orissa","Others",73.4,"M","Others",5.74,"Baijayant Panda",0,"Graduate Professional",312432726,3e+05,50,-3.25,"2014","Others"
"281","Keonjhar","ST","Orissa","Others",80.5,"F","Others",5.74,"Sakuntala Laguri",0,"10th Pass",101531625,0,34,-3.25,"2014","Others"
"282","Khadoor Sahib","GEN","Punjab","Others",66.6,"M","Others",2.55,"Ranjit Singh Brahmpura",0,"8th Pass",177814755,4200000,76,0.44,"2014","Others"
"283","Khagaria","GEN","Bihar","Others",60.1,"M","Others",11.53,"Choudhary Mahboob Ali Kaiser",1,"Graduate",66569502,0,47,-10.06,"2014","BJP"
"284","Khajuraho","GEN","Madhya Pradesh","BJP",51.4,"M","BJP",2.15,"Nagendra Singh",0,"Graduate",44538002,0,72,23.28,"2014","INC"
"285","Khammam","GEN","Telangana","Others",82.1,"M","Others",2.44,"Ponguleti Srinivasa Reddy",0,"12th Pass",346150516,1240000,48,6.15,"2014","INC"
"286","Khandwa","GEN","Madhya Pradesh","BJP",71.5,"M","INC",2.15,"Nandkumar Singh Chouhan (NANDU BHAIYA)",0,"Post Graduate",40188989,9561188,55,23.28,"2014","INC"
"287","Khargone","ST","Madhya Pradesh","BJP",67.7,"M","BJP",2.15,"Subhash Patel",0,"Post Graduate",36138699,2300000,36,23.28,"2014","INC"
"288","Kheda","GEN","Gujarat","BJP",59.8,"M","INC",7.12,"Chauhan Devusinh Jesingbhai (CHAUHAN DEVUSINH)",0,"12th Pass",9426376,1047919,49,-6.96,"2014","BJP"
"289","Kheri","GEN","Uttar Pradesh","BJP",64.2,"M","INC",0.36,"Ajay Kumar",2,"Graduate Professional",26505977,1e+07,55,2.59,"2014","INC"
"290","Khunti","ST","Jharkhand","BJP",66.3,"M","BJP",11.62,"Karia Munda",0,"Post Graduate",7474796,0,77,8.3,"2014","INC"
"291","Kishanganj","GEN","Bihar","INC",64.5,"M","INC",11.53,"Mohammad Asrarul Haque",2,"Post Graduate",4616629,0,67,-10.06,"2014","BJP"
"292","Kodarma","GEN","Jharkhand","BJP",62.5,"M","Others",11.62,"Ravindra Kr. Ray",0,"Doctorate",10564046,2e+05,50,8.3,"2014","Others"
"293","Kokrajhar","ST","Assam","Others",81.3,"M","Others",4.28,"Naba Kumar Sarania (HIRA)",3,"12th Pass",2155559,0,45,4.59,"2014","Others"
"294","Kolar","SC","Karnataka","INC",75.5,"M","INC",2.12,"K.H.Muniyappa",0,"Graduate Professional",184663000,27863000,67,1.25,"2014","INC"
"295","Kolhapur","GEN","Maharashtra","Others",71.7,"M","Others",8.78,"Dhananjay Bhimrao Mahadik",1,"Graduate",448882000,71333000,42,3.99,"2014","Others"
"296","Kolkata Dakshin","GEN","West Bengal","Others",69.3,"M","Others",8.74,"Subrata Bakshi",0,"Graduate Professional",10265428,168891,64,5.38,"2014","Others"
"297","Kolkata Uttar","GEN","West Bengal","Others",66.7,"M","Others",8.74,"Sudip Bandyopadhyay",1,"Graduate",22086278,450000,62,5.38,"2014","Others"
"298","Kollam","GEN","Kerala","Others",72.1,"M","INC",18.41,"N.K.Premachandran",1,"Graduate Professional",16228989,3114638,53,4.39,"2014","INC"
"299","Koppal","GEN","Karnataka","BJP",65.6,"M","BJP",2.12,"Karadi Sanganna Amarappa",1,"10th Pass",12127000,6848000,59,1.25,"2014","INC"
"300","Koraput","ST","Orissa","Others",76.1,"M","Others",5.74,"Jhina Hikaka",0,"Post Graduate",8800000,0,39,-3.25,"2014","Others"
"301","Korba","GEN","Chhattisgarh","BJP",74.2,"M","INC",6.42,"Dr. Banshilal Mahto",0,"Graduate Professional",72303762,382905,73,2.28,"2014","INC"
"302","Kota","GEN","Rajasthan","BJP",66.2,"M","INC",3.55,"Om Birla",2,"Post Graduate",25870497,997366,51,0.22,"2014","INC"
"303","Kottayam","GEN","Kerala","Others",71.6,"M","Others",18.41,"Jose K. Mani",0,"Post Graduate",26236371,0,49,4.39,"2014","Others"
"304","Kozhikode","GEN","Kerala","INC",79.8,"M","INC",18.41,"M .K Raghavan",0,"Graduate",6164901,1558128,61,4.39,"2014","INC"
"305","Krishnagiri","GEN","Tamil Nadu","Others",77.4,"M","Others",3.11,"Ashok Kumar.K",3,"10th Pass",1176436,0,60,7.33,"2014","Others"
"306","Krishnanagar","GEN","West Bengal","Others",84.5,"M","Others",8.74,"Tapas Paul",4,"Graduate",27829669,0,57,5.38,"2014","Others"
"307","Kurnool","GEN","Andhra Pradesh","Others",71.9,"F","INC",2.44,"Butta Renuka",1,"10th Pass",2426240513,312279927,42,6.15,"2014","INC"
"308","Kurukshetra","GEN","Haryana","BJP",75.8,"M","INC",3.57,"Raj Kumar Saini",0,"Graduate",132880476,23262108,60,3.18,"2014","INC"
"309","Kushi Nagar","GEN","Uttar Pradesh","BJP",56.5,"M","INC",0.36,"Rajesh Pandey Urf Guddu",0,"Graduate",110407014,1107357,55,2.59,"2014","INC"
"310","Ladakh","GEN","Jammu & Kashmir","BJP",70.8,"M","Others",1.18,"Thupstan Chhewang",0,"Graduate Professional",19852701,80000,67,4.97,"2014","Others"
"311","Lakhimpur","GEN","Assam","BJP",77.7,"M","INC",4.28,"Sarbananda Sonowal",0,"Graduate Professional",14497515,0,52,4.59,"2014","INC"
"312","Lakshadweep","ST","Lakshadweep","Others",86.6,"M","INC",5.32212962962963,"Mohammed Faizal P.P.",3,"Post Graduate",538119,0,38,3.23461111111111,"2014","Others"
"313","Lalganj","SC","Uttar Pradesh","BJP",54.1,"F","Others",0.36,"Neelam Sonkar",1,"Post Graduate",33863562,2631312,38,2.59,"2014","Others"
"314","Latur","SC","Maharashtra","BJP",62.8,"M","INC",8.78,"Dr. Sunil Baliram Gaikwad",0,"Doctorate",17463251,0,43,3.99,"2014","INC"
"315","Lohardaga","ST","Jharkhand","BJP",58.2,"M","BJP",11.62,"Sudarshan Bhagat",0,"Graduate",9031009,178967,45,8.3,"2014","INC"
"316","Lucknow","GEN","Uttar Pradesh","BJP",53,"M","BJP",0.36,"Raj Nath Singh",0,"Post Graduate",29240729,0,62,2.59,"2014","INC"
"317","Ludhiana","GEN","Punjab","INC",70.5,"M","INC",2.55,"Ravneet Singh Bittu",0,"12th Pass",31509170,192000,38,0.44,"2014","Others"
"318","Machhlishahr","SC","Uttar Pradesh","BJP",52.7,"M","Others",0.36,"Ram Charitra Nishad",0,"12th Pass",8641278,0,46,2.59,"2014","Others"
"319","Machilipatnam","GEN","Andhra Pradesh","Others",83.3,"M","Others",2.44,"Konakalla Narayana Rao",0,"12th Pass",34850000,9800000,64,6.15,"2014","Others"
"320","Madha","GEN","Maharashtra","Others",62.5,"M","Others",8.78,"Mohite Patil Vijaysinh Shankarrao",1,"10th Pass",170253390,9774791,69,3.99,"2014","Others"
"321","Madhepura","GEN","Bihar","Others",60,"M","Others",11.53,"Rajesh Ranjan @ Pappu Yadav",24,"Graduate",81242966,956306,46,-10.06,"2014","Others"
"322","Madhubani","GEN","Bihar","BJP",52.9,"M","BJP",11.53,"Hukm Deo Narayan Yadav",0,"Graduate",77978890,0,77,-10.06,"2014","BJP"
"323","Madurai","GEN","Tamil Nadu","Others",67.9,"M","Others",3.11,"R.Gopalakrishnan",0,"Graduate",72503060,7406366,45,7.33,"2014","Others"
"324","Mahabubabad","ST","Telangana","Others",81,"M","INC",2.44,"Prof. Azmeera Seetaram Naik",0,"Doctorate",8008000,4100000,56,6.15,"2014","INC"
"325","Maharajganj","GEN","Bihar","BJP",51.5,"M","INC",11.53,"Janardan Singh Sigriwal",0,"12th Pass",191819151,2151048,44,-10.06,"2014","INC"
"326","Maharajganj","GEN","Uttar Pradesh","BJP",60.6,"M","Others",0.36,"Pankaj",4,"Graduate",4795223,14000,50,2.59,"2014","Others"
"327","Mahasamund","GEN","Chhattisgarh","BJP",74.6,"M","BJP",6.42,"Chandu Lal Sahu (CHANDU BHAIYA)",0,"Graduate Professional",20879652,2700000,54,2.28,"2014","INC"
"328","Mahbubnagar","GEN","Telangana","Others",71.5,"M","Others",2.44,"Ap Jithender Reddy",4,"Graduate",140831576,1386969,60,6.15,"2014","Others"
"329","Mahesana","GEN","Gujarat","BJP",67,"F","BJP",7.12,"Patel Jayshreeben Kanubhai",0,"10th Pass",13278493,1814057,55,-6.96,"2014","BJP"
"330","Mainpuri","GEN","Uttar Pradesh","Others",60.5,"M","Others",0.36,"Mulayam Singh Yadav",0,"Post Graduate",159671544,0,74,2.59,"2014","Others"
"331","Malappuram","GEN","Kerala","Others",71.2,"M","Others",18.41,"E. Ahamed",0,"Graduate Professional",11818952,0,76,4.39,"2014","INC"
"332","Maldaha Dakshin","GEN","West Bengal","INC",81.1,"M","INC",8.74,"Abu Hasem Khan Chowdhury",0,"Doctorate",11560825,654320,70,5.38,"2014","INC"
"333","Maldaha Uttar","GEN","West Bengal","INC",81.6,"F","INC",8.74,"Mausam Noor",0,"Graduate Professional",9778222,28534,34,5.38,"2014","INC"
"334","Malkajgiri","GEN","Telangana","Others",50.9,"M","INC",2.44,"Ch.Malla Reddy",0,"12th Pass",488525332,6328146,56,6.15,"2014","INC"
